timestamp,pressure_in,pressure_out,flow_rate,vibration
2025-01-01T00:00:00,5.2658,8.4483,138.6351,0.5259
2025-01-01T00:01:00,4.676,9.6689,136.5984,0.2602
2025-01-01T00:02:00,5.1646,8.73,122.4457,0.309
2025-01-01T00:03:00,5.071,7.5404,110.715,0.2199
2025-01-01T00:04:00,5.5569,8.0323,136.9658,0.2863
2025-01-01T00:05:00,5.0806,8.6319,118.9143,0.2696
2025-01-01T00:06:00,4.7429,8.7197,130.4049,0.2104
2025-01-01T00:07:00,5.2424,8.7004,133.0652,0.272
2025-01-01T00:08:00,4.7411,8.6631,133.1417,0.1933
2025-01-01T00:09:00,4.228,8.6977,127.182,0.2356
2025-01-01T00:10:00,4.1962,8.7675,119.3355,0.2647
2025-01-01T00:11:00,4.5284,8.6419,139.4433,0.2856
2025-01-01T00:12:00,4.3414,8.2211,123.4117,0.2091
2025-01-01T00:13:00,4.8777,8.3773,120.2874,0.4444
2025-01-01T00:14:00,4.3446,8.532,86.5851,0.2307
2025-01-01T00:15:00,5.1823,8.9844,145.2099,0.2343
2025-01-01T00:16:00,4.3603,9.3074,146.3523,0.1978
2025-01-01T00:17:00,5.3164,8.649,102.101,0.2287
2025-01-01T00:18:00,4.5282,8.3133,126.6806,0.2635
2025-01-01T00:19:00,4.3874,8.0543,129.9993,0.2584
2025-01-01T00:20:00,5.2003,7.964,119.6359,0.2587
2025-01-01T00:21:00,5.442,8.7044,136.678,0.2345
2025-01-01T00:22:00,4.8212,8.8246,136.1385,0.1984
2025-01-01T00:23:00,5.2196,8.4727,130.949,0.2058
2025-01-01T00:24:00,5.0539,8.7677,128.087,0.2385
2025-01-01T00:25:00,4.9246,8.1119,123.5091,0.5108
2025-01-01T00:26:00,4.5997,8.6811,132.93,0.2449
2025-01-01T00:27:00,5.9708,8.5954,96.1794,0.2529
2025-01-01T00:28:00,5.5711,8.4485,126.3969,0.2884
2025-01-01T00:29:00,5.1949,9.2312,116.3207,0.2667
2025-01-01T00:30:00,5.0444,8.4172,134.7238,0.2345
2025-01-01T00:31:00,4.258,9.0449,127.1934,0.4779
2025-01-01T00:32:00,4.9255,7.7871,119.2787,0.2108
2025-01-01T00:33:00,4.8712,8.5884,125.8349,0.2543
2025-01-01T00:34:00,4.3553,8.2021,126.2817,0.2154
2025-01-01T00:35:00,4.5018,8.2052,138.0777,0.2564
2025-01-01T00:36:00,4.6715,8.5927,128.388,0.2515
2025-01-01T00:37:00,4.774,8.4415,123.2558,0.2264
2025-01-01T00:38:00,5.0679,7.9884,133.3068,0.2085
2025-01-01T00:39:00,4.5315,8.2861,121.4902,0.2645
2025-01-01T00:40:00,5.0739,8.3711,137.2146,0.2311
2025-01-01T00:41:00,4.5008,8.5102,125.8923,0.5682
2025-01-01T00:42:00,4.8665,8.6444,133.8776,0.445
2025-01-01T00:43:00,4.2629,8.2399,139.8153,0.2438
2025-01-01T00:44:00,5.6148,8.0216,124.5647,0.176
2025-01-01T00:45:00,4.6403,8.6105,127.0476,0.2139
2025-01-01T00:46:00,5.4842,8.9675,130.9061,0.5238
2025-01-01T00:47:00,5.0723,9.0949,141.2969,0.2222
2025-01-01T00:48:00,4.3887,9.5254,134.3348,0.2483
2025-01-01T00:49:00,4.8673,8.8305,124.6368,0.2596
2025-01-01T00:50:00,5.2192,8.7472,136.4685,0.253
2025-01-01T00:51:00,5.3829,8.2338,122.2941,0.2847
2025-01-01T00:52:00,4.9525,8.4539,131.5935,0.2276
2025-01-01T00:53:00,4.2333,8.3793,126.5326,0.2252
2025-01-01T00:54:00,4.8474,8.6004,130.5704,0.2211
2025-01-01T00:55:00,4.5543,8.7252,129.11,0.2519
2025-01-01T00:56:00,4.576,8.38,118.8133,0.3124
2025-01-01T00:57:00,4.4806,7.8777,88.1211,0.1583
2025-01-01T00:58:00,4.6052,8.0481,130.2377,0.3049
2025-01-01T00:59:00,4.8167,8.9632,123.0274,0.2978
2025-01-01T01:00:00,4.5516,9.1851,121.0985,0.2405
2025-01-01T01:01:00,4.622,8.0525,122.4723,0.1731
2025-01-01T01:02:00,5.5523,8.4437,140.2548,0.1968
2025-01-01T01:03:00,4.5931,8.8279,122.7446,0.2463
2025-01-01T01:04:00,4.8862,8.2725,123.249,0.223
2025-01-01T01:05:00,4.7194,9.0625,125.014,0.2687
2025-01-01T01:06:00,4.8408,8.7469,142.2337,0.5628
2025-01-01T01:07:00,5.5207,9.0113,139.9778,0.2603
2025-01-01T01:08:00,5.0341,8.5037,128.9835,0.2549
2025-01-01T01:09:00,5.2797,9.0747,133.4816,0.2313
2025-01-01T01:10:00,4.5277,8.3695,130.3692,0.2371
2025-01-01T01:11:00,5.2994,8.6801,116.7465,0.2213
2025-01-01T01:12:00,4.7786,8.0893,131.1567,0.2821
2025-01-01T01:13:00,4.9214,9.2735,135.2146,0.2161
2025-01-01T01:14:00,4.9443,8.2008,129.4904,0.235
2025-01-01T01:15:00,5.2204,9.4468,121.8634,0.2329
2025-01-01T01:16:00,5.0481,8.2913,118.055,0.244
2025-01-01T01:17:00,3.7852,8.8149,128.4586,0.2432
2025-01-01T01:18:00,5.3626,8.4898,131.8507,0.2579
2025-01-01T01:19:00,5.6116,7.7062,123.3232,0.2645
2025-01-01T01:20:00,5.1513,7.9415,123.11,0.5969
2025-01-01T01:21:00,5.1241,8.855,132.9152,0.177
2025-01-01T01:22:00,4.7602,9.6273,131.1289,0.249
2025-01-01T01:23:00,4.5746,8.8348,123.529,0.2365
2025-01-01T01:24:00,4.6216,8.8489,132.0347,0.2571
2025-01-01T01:25:00,5.2366,9.1674,125.1969,0.2982
2025-01-01T01:26:00,4.6162,7.3001,127.1065,0.2391
2025-01-01T01:27:00,4.3775,8.123,111.1172,0.3281
2025-01-01T01:28:00,4.6146,8.5255,122.9581,0.2248
2025-01-01T01:29:00,4.9258,8.7213,131.5002,0.3046
2025-01-01T01:30:00,4.554,9.4609,135.8483,0.2501
2025-01-01T01:31:00,4.6818,8.8735,91.3669,0.2619
2025-01-01T01:32:00,4.6476,8.4845,101.177,0.596
2025-01-01T01:33:00,4.9348,8.1143,112.582,0.2702
2025-01-01T01:34:00,4.7304,9.5277,86.4485,0.2857
2025-01-01T01:35:00,5.3819,8.6087,124.4024,0.2103
2025-01-01T01:36:00,4.9969,8.9282,120.044,0.2267
2025-01-01T01:37:00,5.2334,8.1237,134.9653,0.2814
2025-01-01T01:38:00,5.1995,8.383,139.4386,0.2111
2025-01-01T01:39:00,4.7416,8.64,129.2605,0.2052
2025-01-01T01:40:00,4.6008,8.0316,108.8381,0.2401
2025-01-01T01:41:00,4.6501,7.8117,130.3482,0.2764
2025-01-01T01:42:00,4.7089,8.5418,126.846,0.2826
2025-01-01T01:43:00,5.0085,8.6992,133.5607,0.2195
2025-01-01T01:44:00,4.7364,9.0651,121.3623,0.2544
2025-01-01T01:45:00,5.6212,9.3748,127.9727,0.2171
2025-01-01T01:46:00,4.8357,8.5312,116.0814,0.2062
2025-01-01T01:47:00,4.7905,8.304,136.5692,0.2477
2025-01-01T01:48:00,4.8778,8.4665,139.9218,0.3017
2025-01-01T01:49:00,4.981,8.5059,127.0239,0.2882
2025-01-01T01:50:00,4.8913,8.3065,123.0794,0.2473
2025-01-01T01:51:00,5.2263,9.5583,131.3789,0.2937
2025-01-01T01:52:00,4.9959,8.4085,101.0275,0.2489
2025-01-01T01:53:00,5.5803,9.2595,132.6385,0.2
2025-01-01T01:54:00,4.7027,8.7578,125.8776,0.2287
2025-01-01T01:55:00,5.2521,8.2977,138.2503,0.5771
2025-01-01T01:56:00,5.1833,8.0777,132.6788,0.2609
2025-01-01T01:57:00,4.7588,8.254,92.3607,0.2455
2025-01-01T01:58:00,5.0197,7.9569,134.6252,0.268
2025-01-01T01:59:00,4.9697,8.9285,131.1341,0.2683
2025-01-01T02:00:00,4.5466,8.837,120.9779,0.2715
2025-01-01T02:01:00,5.0175,7.9698,135.6648,0.2804
2025-01-01T02:02:00,4.7399,9.5643,98.9988,0.2186
2025-01-01T02:03:00,4.9697,9.0398,121.811,0.3039
2025-01-01T02:04:00,5.6762,8.4934,129.4052,0.2124
2025-01-01T02:05:00,4.6424,8.8723,133.2941,0.2418
2025-01-01T02:06:00,4.0831,8.0461,134.7585,0.2524
2025-01-01T02:07:00,4.9285,8.4916,140.3697,0.2344
2025-01-01T02:08:00,4.0758,8.7741,125.4702,0.2703
2025-01-01T02:09:00,5.2249,8.3033,128.749,0.2272
2025-01-01T02:10:00,4.8953,7.926,116.8565,0.2854
2025-01-01T02:11:00,5.5711,9.446,114.5308,0.241
2025-01-01T02:12:00,4.1712,8.2793,122.2235,0.2609
2025-01-01T02:13:00,4.8589,9.1639,127.3114,0.1835
2025-01-01T02:14:00,4.6133,8.822,128.2417,0.2533
2025-01-01T02:15:00,4.8669,8.8568,112.1719,0.2555
2025-01-01T02:16:00,5.3994,8.3751,99.3425,0.2139
2025-01-01T02:17:00,5.5076,8.3392,136.6554,0.193
2025-01-01T02:18:00,4.6299,8.2924,127.0029,0.5555
2025-01-01T02:19:00,4.8734,8.7202,124.0955,0.5104
2025-01-01T02:20:00,4.7744,8.2186,125.9602,0.1662
2025-01-01T02:21:00,4.5827,8.011,135.9771,0.458
2025-01-01T02:22:00,4.7966,8.8534,122.9496,0.2241
2025-01-01T02:23:00,5.5019,7.9832,133.2591,0.2622
2025-01-01T02:24:00,5.2456,8.216,127.1166,0.2698
2025-01-01T02:25:00,5.0678,8.1067,116.9744,0.2539
2025-01-01T02:26:00,4.9256,8.5672,123.6923,0.2413
2025-01-01T02:27:00,4.9375,7.997,85.3267,0.2383
2025-01-01T02:28:00,5.2596,8.6187,127.6413,0.3145
